입찰공고일시,입찰공고번호,입찰공고차수,재공고여부,등록유형명,공고종류명,국제입찰여부,참조번호,입찰공고명,공고기관명,수요기관명,입찰방식명,계약체결방법명,집행관명,입찰참가자격등록마감일시,공동수급협정서접수방식,공동수급협정마감일시,공동수급업체지역제한여부,입찰개시일시,입찰마감일시,개찰일시,공고규격서URL1,공고규격서URL2,공고규격서URL3,공고규격서URL4,공고규격서URL5,공고규격서URL6,공고규격서URL7,공고규격파일명1,공고규격파일명2,공고규격파일명3,공고규격파일명4,공고규격파일명5,공고규격파일명6,공고규격파일명7,재입찰허용여부,물품분류제한여부,제조여부,예정가격결정방법명,총예가건수,추첨예가건수,배정예산금액,추정가격,개찰장소,입찰공고상세URL,채권자명,세부품명,물품규격명,물품수량,물품단위,물품단가,납품기한일시,납품일수,인도조건명,공동수급방식명,지사투찰허용여부,지명경쟁여부,예비가격재작성방법명,실적신청서접수방법명,실적신청서접수일시,발주계획통합번호,낙찰하한율,등록일시,사전규격등록번호,정보화사업여부,낙찰방법명,변경일시,변경공고사유,재입찰개찰일시,입찰분류아이디,[기초금액]기초금액,[기초금액]기초금액공개일시,[기초금액]예비가격범위시작률,[기초금액]예비가격범위종료율,[기초금액]비고1,[기초금액]가용금액,[기초금액]입력일시,[구매대상물품]물품순번,[구매대상물품]물품분류번호,[구매대상물품]품명,[구매대상물품]수량,[구매대상물품]단위,[구매대상물품]단가,[구매대상물품]납품장소,[구매대상물품]공고게시일시
2025-03-14 14:39:56,R25BK00714229,000,N,조달청 또는 나라장터 자체 공고건,등록공고,N,경기도 입찰공고 제2025-231호,2025년 잠복결핵 진단시약 등 구매,경기도,경기도,전자입찰,제한경쟁,강수미,2025-03-23 18:00,적격심사제,,,2025-03-15 10:00:00,2025-03-24 10:00:00,2025-03-24 11:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00714229&bidPbancOrd=000&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00714229&bidPbancOrd=000&fileType=&fileSeq=2,,,,,,입찰공고문(2025년 잠복결핵 진단시약 등 구매).hwpx,규격서.hwpx,,,,,,N,,,복수예가,15,4,118608160,107825600,경기도 회계과 입찰집행관 PC,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00714229&bidPbancOrd=000,경기도지사,기타시약및지시약,규격서 참고,1,식,118608160,,180,,(없음)공동수급불허,,N,,,,R25DD20166084,84.245,2025-03-14 14:39:56,R25BD00029543,,지방자치단체 입찰시 낙찰자 결정기준 - 추정가격이 고시금액 미만인 물품의 평가기준(물품구매),,,,,,,,,,,,,,,,,,,
2025-03-14 14:24:50,R25BK00713993,000,N,조달청 또는 나라장터 자체 공고건,등록공고,N,경기도 입찰공고 제2025-230호,"(긴급)여름철 집중호우 대비 수방장비 구매(대형양수기, 일반양수기)",경기도,경기도,전자입찰,제한경쟁,강수미,2025-03-19 18:00,적격심사제,,,2025-03-15 10:00:00,2025-03-20 10:00:00,2025-03-20 11:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00713993&bidPbancOrd=000&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00713993&bidPbancOrd=000&fileType=&fileSeq=2,,,,,,"입찰공고문_(긴급)여름철 집중호우 대비 수방장비 구매 계약(대형양수기, 일반양수기).hwpx",수방장비(대형양수기 등 2종) 물품규격서.hwpx,,,,,,N,,,복수예가,15,4,182017000,165470000,경기도 회계과 입찰진행관 PC,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00713993&bidPbancOrd=000,경기도지사,엔진펌프,규격서 참고,1,식,182017000,,50,,(없음)공동수급불허,,N,,,,R25DD20176659,84.245,2025-03-14 14:24:50,R25BD00033645,,지방자치단체 입찰시 낙찰자 결정기준 - 추정가격이 고시금액 미만인 물품의 평가기준(물품구매),,,,,,,,,,,,,,,,,,,
2025-03-13 17:42:14,R25BK00711128,000,N,조달청 또는 나라장터 자체 공고건,등록공고,Y,경기도 입찰공고 제 2025-5059호,예방약품 등 지원(1차) 방역재료 구입,경기도청 북부청사,경기도 경기도북부동물위생시험소,전자입찰,일반경쟁,김명환,2025-04-07 18:00,적격심사제,,,2025-03-14 10:00:00,2025-04-08 12:00:00,2025-04-08 13:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00711128&bidPbancOrd=000&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00711128&bidPbancOrd=000&fileType=&fileSeq=2,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00711128&bidPbancOrd=000&fileType=&fileSeq=3,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00711128&bidPbancOrd=000&fileType=&fileSeq=4,,,,입찰공고문[예방약품 등 지원(1차) 방역재료 구입].hwpx,물품구매내역서_예방약품 등 지원(1차) 방역재료 구입.xlsx,구입 시방서[예방약품 등 지원(1차) 방역재료 구입].hwpx,Summary Notice.hwpx,,,,N,,,복수예가,15,4,991990480,901809527,국가종합전자조달시스템(나라장터),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00711128&bidPbancOrd=000,경기도지사,주사기,공고문 및 구매내역서 등 참조,1,식,991990480,,30,,(없음)공동수급불허,,N,,,,R25DD20159605,80.495,2025-03-13 17:42:14,R25BD00027581,,지방자치단체 입찰시 낙찰자 결정기준 - 추정가격이 10억원 미만 고시금액 이상인 물품의 평가기준(물품구매),,,,,,,,,,,,,,,,,,,
2025-03-13 13:35:10,R25BK00709598,000,N,조달청 또는 나라장터 자체 공고건,등록공고,N,경기도 입찰공고 제2025-225호,"2025년 상반기 감염병연구부 시약, 초자 및 소모품류 구매",경기도,경기도,전자입찰,제한경쟁,강수미,2025-03-20 18:00,적격심사제,,,2025-03-14 10:00:00,2025-03-21 10:00:00,2025-03-21 11:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00709598&bidPbancOrd=000&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00709598&bidPbancOrd=000&fileType=&fileSeq=2,,,,,,입찰공고문(2025년 상반기 감염병연구부 시약 및 초자류 구매.hwpx,"6. 시약, 초자 및 소모품류 규격서(상반기).xlsx",,,,,,N,,,복수예가,15,4,120675800,109705273,국가종합전자조달시스템(나라장터),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00709598&bidPbancOrd=000,경기도지사,기타시약및지시약,규격서 참고,1,식,120675800,,60,,(없음)공동수급불허,,N,,,,R25DD20166070,84.245,2025-03-13 13:35:10,R25BD00029536,,지방자치단체 입찰시 낙찰자 결정기준 - 추정가격이 고시금액 미만인 물품의 평가기준(물품구매),,,,,,,,,,,,,,,,,,,
2025-03-12 13:45:27,R25BK00693688,001,N,조달청 또는 나라장터 자체 공고건,취소공고,N,경기도건설본부 공고 제2025-59호,과적차량 단속용 이동식 축중기(인디게이터 포함) 구매,경기도 경기도건설본부,경기도 경기도건설본부,전자입찰,수의계약,김아영,2025-03-12 18:00,소액수의견적,,,2025-03-10 10:00:00,2025-03-13 10:00:00,2025-03-13 11:00:00,,,,,,,,,,,,,,,Y,,,복수예가,15,4,50000000,45454545,국가종합전자조달시스템(나라장터),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00693688&bidPbancOrd=001,경기도건설본부장,트럭스케일,규격서 참조,1,조,50000000,,60,납품장소 하차도,(없음)공동수급불허,N,N,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.,,,R25DD20175851,88,2025-03-12 13:45:27,,,소액수의견적(2인 이상 견적 제출),,[취소공고] 과적차량 단속용 이동식 축중기(인디게이터 포함) 구매,,,,,,,,,,,,,,,,,
2025-03-12 10:07:05,R25BK00704758,000,N,조달청 또는 나라장터 자체 공고건,등록공고,N,경기도 입찰공고 제2025-221호,2025년 직원 예방접종 백신(폐렴구균) 단가계약 구입,경기도,경기도,전자입찰,제한경쟁,양지영,2025-03-19 18:00,적격심사제,,,2025-03-13 10:00:00,2025-03-20 10:00:00,2025-03-20 11:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00704758&bidPbancOrd=000&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00704758&bidPbancOrd=000&fileType=&fileSeq=2,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00704758&bidPbancOrd=000&fileType=&fileSeq=3,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00704758&bidPbancOrd=000&fileType=&fileSeq=4,,,,입찰공고문_폐렴구균.hwpx,물품구매 특수조건.pdf,사양서.pdf,상생결제_안내자료.pdf,,,,Y,,,복수예가,15,4,31680000,28800000,경기도 회계과 입찰집행관 PC,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00704758&bidPbancOrd=000,경기도지사,백신,0.5ml/PFS,400,도즈,79200,,0,,(없음)공동수급불허,,N,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.,,,R25DD20182537,84.245,2025-03-12 10:07:05,,,지방자치단체 입찰시 낙찰자 결정기준 - 추정가격이 고시금액 미만인 물품의 평가기준(물품구매),,,,,,,,,,,,,,,,,,,
2025-03-11 16:56:47,R25BK00702523,001,N,조달청 또는 나라장터 자체 공고건,변경공고,N,환경농업연구과-1581,현장애로 소면적 작물 시험용 농자재 물품구입 공고,경기도 경기도농업기술원,경기도 경기도농업기술원,전자입찰,수의계약,장정숙,2025-03-13 18:00,소액수의견적,,,2025-03-11 17:00:00,2025-03-14 15:00:00,2025-03-14 16:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00702523&bidPbancOrd=001&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00702523&bidPbancOrd=001&fileType=&fileSeq=2,,,,,,★1.공고문(현장애로 소면적).hwpx,물품내역서2.xlsx,,,,,,Y,,,복수예가,15,4,19942360,18129418,국가종합전자조달시스템(나라장터),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00702523&bidPbancOrd=001,경기도농업기술원장,온도계,식,1,식,19942360,,20,,(없음)공동수급불허,Y,N,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.,,,R25DD20181100,90,2025-03-11 16:56:47,,,소액수의견적(2인 이상 견적 제출),,[변경공고] 현장애로 소면적 작물 시험용 농자재 물품구입 공고,,,,,,,,,,,,,,,,,
2025-03-11 16:02:42,R25BK00702523,000,N,조달청 또는 나라장터 자체 공고건,등록공고,N,환경농업연구과-1581,현장애로 소면적 작물 시험용 농자재 물품구입 공고,경기도 경기도농업기술원,경기도 경기도농업기술원,전자입찰,수의계약,장정숙,2025-03-13 18:00,소액수의견적,,,2025-03-11 17:00:00,2025-03-14 15:00:00,2025-03-14 16:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00702523&bidPbancOrd=000&fileType=&fileSeq=1,,,,,,,물품내역서2.xlsx,,,,,,,Y,,,복수예가,15,4,19942360,18129418,국가종합전자조달시스템(나라장터),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00702523&bidPbancOrd=000,경기도농업기술원장,온도계,식,1,식,19942360,,20,,(없음)공동수급불허,Y,N,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.,,,R25DD20181100,90,2025-03-11 16:02:42,,,소액수의견적(2인 이상 견적 제출),,,,,,,,,,,,,,,,,,,
2025-03-11 15:08:57,R25BK00702283,000,N,조달청 또는 나라장터 자체 공고건,등록공고,N,경기도 입찰공고 제2025-216호,2025년 상반기 식품의약품연구부 시약 및 초자류 구매,경기도,경기도,전자입찰,제한경쟁,강수미,2025-03-18 18:00,적격심사제,,,2025-03-12 10:00:00,2025-03-19 10:00:00,2025-03-19 11:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00702283&bidPbancOrd=000&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00702283&bidPbancOrd=000&fileType=&fileSeq=2,,,,,,입찰공고문_2025년 상반기 식품의약품연구부 시약 및 초자류 계약.hwpx,시약 및 초자류 규격서(2025년 상반기_식품의약품연구부).xlsx,,,,,,N,,,복수예가,15,4,303015090,275468264,국가종합전자조달시스템(나라장터),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00702283&bidPbancOrd=000,경기도지사,기타시약및지시약,규격서 참고,1,식,303015090,,60,,(없음)공동수급불허,,N,,,,R25DD20155937,80.495,2025-03-11 15:08:57,R25BD00025903,,지방자치단체 입찰시 낙찰자 결정기준 - 추정가격이 10억원 미만 고시금액 이상인 물품의 평가기준(물품구매),,,,,,,,,,,,,,,,,,,
2025-03-11 14:00:46,R25BK00701755,000,N,조달청 또는 나라장터 자체 공고건,등록공고,N,작물연구과-1237,2025년 농식품 융복합 가공기술 개발용 시약 및 물품 구입,경기도 경기도농업기술원,경기도 경기도농업기술원,전자입찰,수의계약,장정숙,2025-03-13 18:00,소액수의견적,,,2025-03-11 15:00:00,2025-03-14 14:00:00,2025-03-14 15:00:00,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00701755&bidPbancOrd=000&fileType=&fileSeq=1,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK00701755&bidPbancOrd=000&fileType=&fileSeq=2,,,,,,★1.공고문(250311).hwpx,물품구입내역서(2).xlsx,,,,,,Y,,,복수예가,15,4,40822300,37111182,국가종합전자조달시스템(나라장터),https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00701755&bidPbancOrd=000,경기도농업기술원장,실험실용물통,식,1,식,40822300,,0,납품장소 입고도,(없음)공동수급불허,,N,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.,,,R25DD20180602,88,2025-03-11 14:00:46,,,소액수의견적(2인 이상 견적 제출),,,,,,,,,,,,,,,,,,,
